Date,Pixels,Threshold,ID,Latitude,Longitude
2019-06-07,747,0.4,s002,68.6321,-131.7552
2019-06-10,747,0.4,s002,68.6321,-131.7552
2019-06-17,747,0.4,s002,68.6321,-131.7552
2019-07-25,747,0.4,s002,68.6321,-131.7552
2019-07-27,747,0.4,s002,68.6321,-131.7552
2019-08-21,747,0.4,s002,68.6321,-131.7552
2019-09-03,747,0.4,s002,68.6321,-131.7552
2019-09-07,747,0.4,s002,68.6321,-131.7552
2019-09-20,747,0.4,s002,68.6321,-131.7552
2019-09-28,747,0.4,s002,68.6321,-131.7552
2020-06-03,747,0.4,s002,68.6321,-131.7552
2020-06-14,747,0.4,s002,68.6321,-131.7552
2020-06-18,747,0.4,s002,68.6321,-131.7552
2020-06-29,747,0.4,s002,68.6321,-131.7552
2020-07-11,747,0.4,s002,68.6321,-131.7552
2020-07-31,747,0.4,s002,68.6321,-131.7552
2020-08-18,747,0.4,s002,68.6321,-131.7552
2020-08-28,747,0.4,s002,68.6321,-131.7552
2020-09-06,747,0.4,s002,68.6321,-131.7552
2020-09-19,747,0.4,s002,68.6321,-131.7552
2021-06-06,747,0.4,s002,68.6321,-131.7552
2021-06-14,747,0.4,s002,68.6321,-131.7552
2021-06-19,747,0.4,s002,68.6321,-131.7552
2021-06-23,747,0.4,s002,68.6321,-131.7552
2021-07-16,747,0.4,s002,68.6321,-131.7552
2021-07-23,747,0.4,s002,68.6321,-131.7552
2021-08-03,747,0.4,s002,68.6321,-131.7552
2021-09-02,797,0.4,s002,68.6321,-131.7552
2021-09-07,877,0.4,s002,68.6321,-131.7552
2022-06-14,887,0.4,s002,68.6321,-131.7552
2022-06-21,887,0.4,s002,68.6321,-131.7552
2022-06-28,887,0.4,s002,68.6321,-131.7552
2022-07-01,887,0.4,s002,68.6321,-131.7552
2022-07-06,887,0.4,s002,68.6321,-131.7552
2022-08-05,887,0.4,s002,68.6321,-131.7552
2022-08-12,887,0.4,s002,68.6321,-131.7552
2022-08-30,887,0.4,s002,68.6321,-131.7552
2022-09-02,998,0.4,s002,68.6321,-131.7552
2023-06-24,1280,0.4,s002,68.6321,-131.7552
2023-07-04,1280,0.4,s002,68.6321,-131.7552
2023-07-29,1280,0.4,s002,68.6321,-131.7552
2023-08-08,1273,0.4,s002,68.6321,-131.7552
2023-09-17,1268,0.4,s002,68.6321,-131.7552
2024-06-05,1280,0.4,s002,68.6321,-131.7552
2024-06-10,1279,0.4,s002,68.6321,-131.7552
2024-06-15,1280,0.4,s002,68.6321,-131.7552
2024-06-23,1280,0.4,s002,68.6321,-131.7552
2024-07-23,1474,0.4,s002,68.6321,-131.7552
2024-08-06,2017,0.4,s002,68.6321,-131.7552
2019-06-07,747,0.41,s002,68.6321,-131.7552
2019-06-10,747,0.41,s002,68.6321,-131.7552
2019-06-17,747,0.41,s002,68.6321,-131.7552
2019-07-25,747,0.41,s002,68.6321,-131.7552
2019-07-27,747,0.41,s002,68.6321,-131.7552
2019-08-21,747,0.41,s002,68.6321,-131.7552
2019-09-03,747,0.41,s002,68.6321,-131.7552
2019-09-07,747,0.41,s002,68.6321,-131.7552
2019-09-20,747,0.41,s002,68.6321,-131.7552
2019-09-28,747,0.41,s002,68.6321,-131.7552
2020-06-03,747,0.41,s002,68.6321,-131.7552
2020-06-14,747,0.41,s002,68.6321,-131.7552
2020-06-18,747,0.41,s002,68.6321,-131.7552
2020-06-29,747,0.41,s002,68.6321,-131.7552
2020-07-11,747,0.41,s002,68.6321,-131.7552
2020-07-31,747,0.41,s002,68.6321,-131.7552
2020-08-18,747,0.41,s002,68.6321,-131.7552
2020-08-28,747,0.41,s002,68.6321,-131.7552
2020-09-06,747,0.41,s002,68.6321,-131.7552
2020-09-19,747,0.41,s002,68.6321,-131.7552
2021-06-06,747,0.41,s002,68.6321,-131.7552
2021-06-14,747,0.41,s002,68.6321,-131.7552
2021-06-19,747,0.41,s002,68.6321,-131.7552
2021-06-23,747,0.41,s002,68.6321,-131.7552
2021-07-16,747,0.41,s002,68.6321,-131.7552
2021-07-23,747,0.41,s002,68.6321,-131.7552
2021-08-03,747,0.41,s002,68.6321,-131.7552
2021-09-02,797,0.41,s002,68.6321,-131.7552
2021-09-07,877,0.41,s002,68.6321,-131.7552
2022-06-14,887,0.41,s002,68.6321,-131.7552
2022-06-21,887,0.41,s002,68.6321,-131.7552
2022-06-28,887,0.41,s002,68.6321,-131.7552
2022-07-01,887,0.41,s002,68.6321,-131.7552
2022-07-06,887,0.41,s002,68.6321,-131.7552
2022-08-05,887,0.41,s002,68.6321,-131.7552
2022-08-12,887,0.41,s002,68.6321,-131.7552
2022-08-30,887,0.41,s002,68.6321,-131.7552
2022-09-02,998,0.41,s002,68.6321,-131.7552
2023-06-24,1280,0.41,s002,68.6321,-131.7552
2023-07-04,1280,0.41,s002,68.6321,-131.7552
2023-07-29,1280,0.41,s002,68.6321,-131.7552
2023-08-08,1273,0.41,s002,68.6321,-131.7552
2023-09-17,1268,0.41,s002,68.6321,-131.7552
2024-06-05,1280,0.41,s002,68.6321,-131.7552
2024-06-10,1279,0.41,s002,68.6321,-131.7552
2024-06-15,1279,0.41,s002,68.6321,-131.7552
2024-06-23,1280,0.41,s002,68.6321,-131.7552
2024-07-23,1474,0.41,s002,68.6321,-131.7552
2024-08-06,2017,0.41,s002,68.6321,-131.7552
2019-06-07,747,0.42,s002,68.6321,-131.7552
2019-06-10,747,0.42,s002,68.6321,-131.7552
2019-06-17,747,0.42,s002,68.6321,-131.7552
2019-07-25,747,0.42,s002,68.6321,-131.7552
2019-07-27,747,0.42,s002,68.6321,-131.7552
2019-08-21,747,0.42,s002,68.6321,-131.7552
2019-09-03,747,0.42,s002,68.6321,-131.7552
2019-09-07,747,0.42,s002,68.6321,-131.7552
2019-09-20,747,0.42,s002,68.6321,-131.7552
2019-09-28,747,0.42,s002,68.6321,-131.7552
2020-06-03,747,0.42,s002,68.6321,-131.7552
2020-06-14,747,0.42,s002,68.6321,-131.7552
2020-06-18,747,0.42,s002,68.6321,-131.7552
2020-06-29,747,0.42,s002,68.6321,-131.7552
2020-07-11,746,0.42,s002,68.6321,-131.7552
2020-07-31,747,0.42,s002,68.6321,-131.7552
2020-08-18,747,0.42,s002,68.6321,-131.7552
2020-08-28,747,0.42,s002,68.6321,-131.7552
2020-09-06,747,0.42,s002,68.6321,-131.7552
2020-09-19,747,0.42,s002,68.6321,-131.7552
2021-06-06,747,0.42,s002,68.6321,-131.7552
2021-06-14,747,0.42,s002,68.6321,-131.7552
2021-06-19,747,0.42,s002,68.6321,-131.7552
2021-06-23,747,0.42,s002,68.6321,-131.7552
2021-07-16,747,0.42,s002,68.6321,-131.7552
2021-07-23,747,0.42,s002,68.6321,-131.7552
2021-08-03,747,0.42,s002,68.6321,-131.7552
2021-09-02,797,0.42,s002,68.6321,-131.7552
2021-09-07,877,0.42,s002,68.6321,-131.7552
2022-06-14,887,0.42,s002,68.6321,-131.7552
2022-06-21,887,0.42,s002,68.6321,-131.7552
