File Name,Estimated Area,Segmented Image Path,Clicked Points
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2023-07-04.jpg,0.05500000000000001,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2023-07-04_segmented.jpg,"[[33.90548118161947, 42.890466615751194], [36.74747252361082, 45.295228520513106], [43.08729936343766, 45.951072676357256], [47.45959373573202, 39.611245836530415], [47.45959373573202, 33.27141899670359], [47.45959373573202, 31.085271810556392], [51.8318881080264, 30.64804237332696], [55.76695304309133, 31.741115966400557], [58.60894438508267, 35.45756618285077], [59.92063269677099, 39.829860555145146], [61.013706289844585, 46.388302113586704], [59.26478854092684, 51.63505536033995], [59.046173822312106, 53.82120254648713], [58.82755910369739, 57.756267481552065], [57.734485510623806, 60.37964410492869], [54.45526473140303, 63.87747960276418], [51.394658670796964, 61.691332416617], [48.98989676603505, 54.695661420946], [46.585134861273154, 49.66752289280748], [43.961758237896525, 48.35583458111917], [39.58946386560216, 49.8861376114222], [41.33838161451991, 53.383973109257695], [41.119766895905194, 59.72379994908453], [39.152234428372715, 59.50518523046981], [36.09162836776665, 54.25843198371657], [33.031022307160605, 49.44890817419275], [32.37517815131644, 45.07661380189839], [33.90548118161947, 42.890466615751194]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2021-09-07.jpg,0.07329999999999999,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2021-09-07_segmented.jpg,"[[30.84487512101341, 41.214420995671006], [34.77994005607835, 38.59104437229438], [37.40331667945497, 33.78152056277057], [42.65006992620821, 33.78152056277057], [47.02236429850259, 32.68844696969698], [52.26911754525583, 32.251217532467535], [53.79942057555886, 34.65597943722945], [56.204182480320775, 39.46550324675326], [57.29725607339436, 44.7122564935065], [57.734485510623806, 51.489312770562776], [56.204182480320775, 56.5174512987013], [55.76695304309133, 61.32697510822511], [53.36219113832943, 63.5131222943723], [49.64574092187922, 64.82481060606061], [42.86868464482294, 63.950351731601735], [38.71500499114328, 60.88974567099568], [35.217169493307786, 55.86160714285715], [33.031022307160605, 52.80100108225109], [32.37517815131644, 48.428706709956714], [31.282104558242857, 44.7122564935065], [30.84487512101341, 41.214420995671006]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2024-06-23.jpg,0.0669,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2024-06-23_segmented.jpg,"[[32.59379286993116, 40.99580627705629], [38.496390272528565, 44.05641233766235], [44.836217112355406, 42.74472402597404], [45.71067598681427, 37.93520021645023], [46.585134861273154, 32.68844696969698], [47.67820845434675, 30.28368506493507], [51.61327338941168, 30.502299783549788], [55.32972360586189, 31.37675865800867], [57.51587079200909, 34.874594155844164], [59.26478854092684, 39.24688852813854], [61.013706289844585, 44.93087121212122], [61.2323210084593, 48.428706709956714], [60.57647685261514, 53.238230519480524], [60.57647685261514, 56.954680735930744], [59.483403259541554, 60.23390151515152], [56.860026636164925, 62.857278138528144], [53.79942057555886, 62.857278138528144], [48.55266732880562, 58.047754329004334], [45.492061268199556, 58.047754329004334], [42.65006992620821, 59.79667207792208], [40.46392274006103, 61.98281926406927], [38.71500499114328, 58.047754329004334], [35.873013649151936, 53.45684523809525], [33.24963702577532, 48.64732142857143], [31.71933399547229, 44.493641774891785], [32.59379286993116, 40.99580627705629]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2023-06-24.jpg,0.05540000000000001,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2023-06-24_segmented.jpg,"[[32.81240758854589, 42.3074945887446], [36.09162836776665, 44.7122564935065], [40.682537458675746, 46.023944805194816], [44.61760239374069, 43.619182900432904], [47.45959373573202, 37.71658549783551], [46.14790542404372, 33.34429112554113], [46.80374957988787, 30.939529220779235], [50.95742923356753, 29.846455627705637], [55.32972360586189, 31.37675865800867], [58.82755910369739, 34.65597943722945], [59.26478854092684, 39.90273268398269], [59.26478854092684, 43.83779761904762], [59.70201797815627, 47.99147727272728], [59.26478854092684, 52.36377164502165], [58.60894438508267, 56.954680735930744], [57.07864135477964, 60.88974567099568], [55.11110888724718, 62.63866341991343], [52.050502826641114, 62.20143398268399], [49.64574092187922, 58.26636904761906], [47.45959373573202, 51.92654220779222], [46.14790542404372, 48.210091991342], [42.65006992620821, 48.210091991342], [40.24530802144631, 49.52178030303031], [41.775611051749344, 53.01961580086581], [41.775611051749344, 58.70359848484849], [38.05916083529913, 57.82913961038962], [35.4357842119225, 53.45684523809525], [32.59379286993116, 49.303165584415595], [32.156563432701724, 46.46117424242425], [32.81240758854589, 42.3074945887446]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2024-06-05.jpg,0.0673,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2024-06-05_segmented.jpg,"[[37.40331667945497, 41.65165043290044], [43.305914082052375, 34.874594155844164], [46.36652014265844, 31.37675865800867], [49.20851148464977, 30.065070346320354], [54.23665001278831, 30.502299783549788], [57.95310022923852, 33.34429112554113], [60.57647685261514, 40.558576839826856], [61.45093572707402, 46.89840367965368], [60.57647685261514, 53.675459956709965], [60.57647685261514, 57.82913961038962], [58.82755910369739, 62.20143398268399], [54.45526473140303, 63.950351731601735], [48.771282047420335, 61.1083603896104], [46.80374957988787, 58.92221320346321], [42.431455207593494, 60.88974567099568], [40.46392274006103, 55.42437770562771], [39.80807858421688, 49.08455086580088], [37.40331667945497, 44.493641774891785], [37.40331667945497, 41.65165043290044]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2021-06-23.jpg,0.0536,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2021-06-23_segmented.jpg,"[[33.031022307160605, 43.98353854092686], [38.496390272528565, 46.60691516430347], [43.961758237896525, 45.732456289844606], [45.71067598681427, 41.79739135477966], [43.961758237896525, 36.55063810802642], [45.71067598681427, 33.70864676603509], [48.3340526101909, 31.522499579887892], [52.26911754525583, 32.17834373573206], [54.89249416863246, 33.49003204742036], [57.51587079200909, 37.4250969824853], [57.734485510623806, 42.671850229238544], [57.95310022923852, 48.35583291322122], [57.51587079200909, 54.69565975304807], [57.07864135477964, 59.286568843957156], [54.23665001278831, 62.34717490456322], [50.95742923356753, 62.78440434179265], [47.89682317296147, 58.84933940672772], [47.240979017117304, 53.383971441359755], [45.492061268199556, 51.41643897382729], [42.431455207593494, 50.76059481798313], [39.37084914698743, 51.853668411056724], [41.55699633313463, 56.22596278335109], [41.33838161451991, 62.1285601859485], [38.27777555391385, 60.81687187426019], [36.09162836776665, 56.22596278335109], [33.24963702577532, 52.946742004130314], [32.37517815131644, 47.91860347599179], [33.031022307160605, 43.98353854092686]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2019-09-28.jpg,0.060899999999999996,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2019-09-28_segmented.jpg,"[[33.46825174439004, 40.558576839826856], [39.58946386560216, 37.71658549783551], [40.90115217729046, 34.0001352813853], [46.14790542404372, 32.03260281385282], [48.98989676603505, 30.939529220779235], [52.26911754525583, 31.158143939393952], [55.11110888724718, 33.12567640692642], [55.32972360586189, 37.71658549783551], [55.32972360586189, 41.65165043290044], [55.32972360586189, 46.679788961038966], [55.32972360586189, 49.303165584415595], [55.11110888724718, 52.80100108225109], [54.45526473140303, 57.6105248917749], [51.394658670796964, 60.015286796536806], [47.45959373573202, 61.764204545454554], [42.21284048897878, 59.79667207792208], [39.152234428372715, 58.92221320346321], [36.09162836776665, 55.64299242424243], [33.031022307160605, 50.61485389610391], [32.59379286993116, 44.93087121212122], [32.37517815131644, 42.3074945887446], [33.46825174439004, 40.558576839826856]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2022-06-28.jpg,0.0545,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2022-06-28_segmented.jpg,"[[33.031022307160605, 44.493641774891785], [38.496390272528565, 44.7122564935065], [41.775611051749344, 40.99580627705629], [44.18037295651124, 37.93520021645023], [46.585134861273154, 35.530438311688314], [47.89682317296147, 31.595373376623385], [50.52019979633808, 31.158143939393952], [54.67387945001774, 31.595373376623385], [57.95310022923852, 34.0001352813853], [58.82755910369739, 39.46550324675326], [58.390329666467956, 44.93087121212122], [58.390329666467956, 50.17762445887446], [57.07864135477964, 53.238230519480524], [57.51587079200909, 56.73606601731603], [57.29725607339436, 60.45251623376624], [54.45526473140303, 62.63866341991343], [49.64574092187922, 61.1083603896104], [49.64574092187922, 56.08022186147187], [47.67820845434675, 52.582386363636374], [43.08729936343766, 51.05208333333334], [41.775611051749344, 52.582386363636374], [41.775611051749344, 56.954680735930744], [38.933619709758, 58.70359848484849], [36.5288578049961, 54.33130411255412], [33.686866463004755, 49.959009740259745], [33.031022307160605, 44.493641774891785]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2021-06-14.jpg,0.0693,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2021-06-14_segmented.jpg,"[[32.59379286993116, 40.922932480320796], [36.5288578049961, 37.4250969824853], [37.18470196084025, 32.83418789157621], [41.33838161451991, 32.83418789157621], [45.492061268199556, 32.39695845434677], [49.20851148464977, 30.866655424043742], [54.01803529417358, 31.08527014265846], [56.860026636164925, 33.27141732880564], [57.07864135477964, 37.64371170110002], [56.860026636164925, 43.327694385082694], [57.95310022923852, 46.60691516430347], [58.390329666467956, 50.10475066213897], [56.64141191755021, 52.50951256690088], [55.76695304309133, 56.22596278335109], [55.32972360586189, 60.379642437030746], [51.394658670796964, 61.69133074871906], [47.45959373573202, 59.06795412534244], [44.836217112355406, 58.84933940672772], [41.119766895905194, 60.59825715564547], [38.933619709758, 60.379642437030746], [38.05916083529913, 57.31903637642469], [34.99855477469307, 54.25843031581863], [32.59379286993116, 50.76059481798313], [32.37517815131644, 47.69998875737707], [31.71933399547229, 44.63938269677101], [32.59379286993116, 40.922932480320796]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s015/RGB\RGB_2020-06-24.jpg,0.0452,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2020-06-24_segmented.jpg,"[[39.37084914698743, 62.20143398268399], [37.18470196084025, 58.484983766233775], [34.12409590023419, 54.98714826839828], [32.156563432701724, 51.05208333333334], [31.282104558242857, 46.023944805194816], [31.71933399547229, 43.83779761904762], [37.840546116684415, 44.93087121212122], [41.99422577036406, 45.36810064935065], [47.02236429850259, 42.963338744588754], [47.89682317296147, 37.060741341991346], [47.89682317296147, 32.9070616883117], [52.050502826641114, 32.9070616883117], [54.89249416863246, 35.3118235930736], [54.89249416863246, 39.90273268398269], [54.89249416863246, 44.05641233766235], [55.54833832447661, 49.52178030303031], [55.54833832447661, 53.01961580086581], [53.580805856944146, 55.205762987012996], [54.89249416863246, 58.26636904761906], [52.48773226387055, 61.1083603896104], [49.20851148464977, 61.32697510822511], [47.89682317296147, 56.5174512987013], [45.71067598681427, 53.01961580086581], [41.775611051749344, 52.80100108225109], [41.33838161451991, 55.64299242424243], [41.775611051749344, 59.14082792207793], [41.55699633313463, 61.54558982683984], [39.37084914698743, 62.20143398268399]]"
