File Name,Estimated Area,Segmented Image Path,Clicked Points
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2021-07-21.jpg,0.0204,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2021-07-21_segmented.jpg,"[[51.02019979633809, 58.92221320346321], [50.801585077723374, 54.33130411255412], [47.522364298502595, 53.01961580086581], [45.55483183097013, 49.74039502164503], [44.46175823789653, 46.46117424242425], [44.46175823789653, 43.18195346320347], [45.55483183097013, 41.870265151515156], [48.17820845434676, 40.99580627705629], [51.02019979633809, 40.77719155844157], [53.206346982485286, 43.40056818181819], [53.206346982485286, 47.1170183982684], [56.266953043091334, 49.08455086580088], [59.764788540926844, 51.27069805194806], [61.950935727074025, 52.14515692640693], [59.98340325954156, 54.33130411255412], [56.70418248032078, 56.5174512987013], [53.4249617011, 58.70359848484849], [51.02019979633809, 58.92221320346321]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2023-06-11.jpg,0.024699999999999996,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2023-06-11_segmented.jpg,"[[49.052667328805626, 56.73606601731603], [49.27128204742034, 53.238230519480524], [47.08513486127316, 51.489312770562776], [43.80591408205238, 49.08455086580088], [41.40115217729047, 46.46117424242425], [41.40115217729047, 42.963338744588754], [42.056996333134634, 40.339962121212125], [44.68037295651125, 38.80965909090909], [47.522364298502595, 37.060741341991346], [50.145740921879224, 38.15381493506494], [51.89465867079697, 40.12134740259741], [52.55050282664112, 42.74472402597404], [52.331888108026405, 45.149485930735935], [52.987732263870555, 46.679788961038966], [55.8297236058619, 48.210091991342], [58.89032966646796, 49.303165584415595], [59.54617382231211, 51.27069805194806], [58.45310022923853, 54.1126893939394], [54.955264731403034, 56.5174512987013], [51.23881451495281, 58.047754329004334], [49.052667328805626, 56.73606601731603]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2023-08-06.jpg,0.0296,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2023-08-06_segmented.jpg,"[[50.145740921879224, 57.82913961038962], [48.396823172961476, 54.768533549783555], [49.708511484649776, 51.92654220779222], [45.77344654958485, 51.7079274891775], [43.15006992620822, 49.08455086580088], [40.96392274006104, 46.89840367965368], [39.433619709758005, 44.05641233766235], [39.21500499114329, 41.65165043290044], [40.96392274006104, 38.59104437229438], [43.587299363437666, 35.96766774891776], [46.866520142658445, 36.404897186147195], [50.58297035910866, 37.27935606060608], [53.206346982485286, 40.558576839826856], [53.206346982485286, 45.149485930735935], [55.17387945001775, 47.33563311688313], [58.015870792009096, 49.08455086580088], [60.20201797815628, 50.17762445887446], [60.63924741538571, 52.582386363636374], [56.04833832447662, 54.98714826839828], [52.11327338941169, 57.17329545454546], [50.145740921879224, 57.82913961038962]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2021-09-09.jpg,0.0226,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2021-09-09_segmented.jpg,"[[49.052667328805626, 58.484983766233775], [49.92712620326451, 53.383971441359755], [45.77344654958485, 50.97920953659785], [43.36868464482295, 48.137218194606504], [42.9314552075935, 43.327694385082694], [43.80591408205238, 40.70431776170608], [45.99206126819956, 39.61124416863248], [48.17820845434676, 39.17401473140305], [51.676043952182255, 40.48570304309136], [51.676043952182255, 44.42076797815629], [54.08080585694415, 47.26275932014764], [57.36002663616493, 49.44890650629482], [59.764788540926844, 50.76059481798313], [59.54617382231211, 54.03981559720391], [55.39249416863247, 56.88180693919525], [51.45742923356754, 59.286568843957156], [49.052667328805626, 58.484983766233775]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2022-08-20.jpg,0.0263,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2022-08-20_segmented.jpg,"[[50.145740921879224, 57.53765109503941], [50.145740921879224, 53.383971441359755], [46.64790542404373, 51.853668411056724], [42.9314552075935, 48.35583291322122], [41.6197668959052, 44.42076797815629], [42.27561105174935, 40.922932480320796], [44.89898767512598, 38.08094113832945], [48.83405261019091, 38.08094113832945], [51.23881451495281, 40.48570304309136], [52.76911754525584, 44.42076797815629], [54.08080585694415, 46.825529882918204], [57.797256073394365, 49.2302917876801], [62.38816516430346, 50.10475066213897], [64.1370829132212, 51.63505369244201], [59.327559103697396, 54.477045034433345], [53.64357641971472, 57.53765109503941], [50.145740921879224, 57.53765109503941]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2020-06-17.jpg,0.0115,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2020-06-17_segmented.jpg,"[[50.145740921879224, 57.68339535271451], [49.92712620326451, 52.43664210596127], [47.522364298502595, 48.72019188951106], [46.21067598681428, 45.00374167306083], [48.396823172961476, 42.380365049684215], [51.89465867079697, 43.036209205528365], [53.64357641971472, 45.659585828904994], [54.518035294173586, 49.37603604535521], [54.29942057555887, 51.78079795011711], [56.485567761706065, 53.748330417649576], [53.64357641971472, 56.59032175964092], [50.145740921879224, 57.68339535271451]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2021-06-16.jpg,0.0169,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2021-06-16_segmented.jpg,"[[51.02019979633809, 57.97488220016678], [49.92712620326451, 53.60258782787241], [47.08513486127316, 50.54198176726635], [44.68037295651125, 45.51384323912782], [45.77344654958485, 43.109081334365925], [47.522364298502595, 41.79739302267761], [50.801585077723374, 42.01600774129233], [52.55050282664112, 43.54631077159536], [52.76911754525584, 47.044146269430854], [55.8297236058619, 49.8861376114222], [59.54617382231211, 50.32336704865163], [60.63924741538571, 52.72812895341354], [57.141411917550215, 55.7887350140196], [53.206346982485286, 57.97488220016678], [51.02019979633809, 57.97488220016678]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2020-07-31.jpg,0.0169,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2020-07-31_segmented.jpg,"[[50.145740921879224, 57.53765109503941], [50.36435564049394, 53.16535672274504], [47.30374957988788, 50.76059481798313], [45.55483183097013, 47.26275932014764], [45.1176023937407, 42.671850229238544], [47.522364298502595, 41.578776636164946], [51.02019979633809, 41.578776636164946], [53.64357641971472, 44.63938269677101], [55.39249416863247, 47.26275932014764], [57.141411917550215, 50.541980099368416], [60.20201797815628, 50.76059481798313], [59.764788540926844, 53.383971441359755], [55.39249416863247, 55.1328891902775], [52.76911754525584, 57.31903637642469], [50.145740921879224, 57.53765109503941]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2019-07-28.jpg,0.0129,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2019-07-28_segmented.jpg,"[[49.708511484649776, 57.10042165780997], [49.708511484649776, 53.821200878589195], [46.64790542404373, 51.197824255212566], [47.522364298502595, 48.79306235045067], [46.64790542404373, 45.732456289844606], [47.95959373573203, 43.98353854092686], [50.36435564049394, 44.202153259541575], [52.76911754525584, 45.51384157122989], [53.4249617011, 47.26275932014764], [54.29942057555887, 50.541980099368416], [55.17387945001775, 52.50951256690088], [56.9227971989355, 54.03981559720391], [55.611108887247184, 57.10042165780997], [51.02019979633809, 59.94241299980131], [49.708511484649776, 57.10042165780997]]"
C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Data/Sentinel-s003/RGB\RGB_2021-07-21.jpg,0.0204,C:/Users/cmeri/OneDrive - Dartmouth College/Math_76/FinalProject/Math76_FinalProject/Output\RGB_2021-07-21_segmented.jpg,"[[51.02019979633809, 58.92221320346321], [50.801585077723374, 54.33130411255412], [47.522364298502595, 53.01961580086581], [45.55483183097013, 49.74039502164503], [44.46175823789653, 46.46117424242425], [44.46175823789653, 43.18195346320347], [45.55483183097013, 41.870265151515156], [48.17820845434676, 40.99580627705629], [51.02019979633809, 40.77719155844157], [53.206346982485286, 43.40056818181819], [53.206346982485286, 47.1170183982684], [56.266953043091334, 49.08455086580088], [59.764788540926844, 51.27069805194806], [61.950935727074025, 52.14515692640693], [59.98340325954156, 54.33130411255412], [56.70418248032078, 56.5174512987013], [53.4249617011, 58.70359848484849], [51.02019979633809, 58.92221320346321]]"
